ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
aimei 暧昧,暧昧スクリーム,A16,【开始】五轨单点  【结束】双拐条后，吃到三轨单点,B755,【开始】三轨长条结尾，五轨条头  【结束】双条后，1&5轨双打,111.3,B755,【开始】三轨长条结尾，五轨条头  【结束】双条后，1&5轨双打,57.9,1
aitouluowang 爱投罗网,爱投罗网,A110,"【开始】导歌开，爆第二次短条：3轨短条。
【结束】2轨条左滑&4轨单点。（备注）",B436,【开始】4轨单点后，爆4轨条。    【结束】2轨直条中。（非满分）,74,B440,"【开始】爆4轨条左滑时&1轨右滑条。
【结束】2轨直条尾&3轨直条头。",39,2
aiwushe 爱无赦,爱无赦,B567,"【开始】过四轨条，一轨条按住爆一轨右滑尾+四轨拐条头
【结束】一轨右滑尾+四轨拐条头",B753,"【开始】一轨点后，三轨拐条按住爆第一次右拐
【结束】一轨拐条右滑尾",90.1,B753,"【开始】一轨点后，三轨拐条按住爆第一次右拐
【结束】一轨拐条右滑尾",47.9,1
aizaibuyuanchu 爱在不远处,爱在不远处,A353,"【开始】三轨右滑键后爆二轨单点
【结束】三轨拐条后，二轨单点",B644,"【开始】三轨点，二轨左滑键后爆三轨右滑条
【结束】二轨拐条最后一次左滑",70.4,B644,"【开始】三轨点，二轨左滑键后爆三轨右滑条
【结束】二轨拐条最后一次左滑",37.4,1
AKB48,キミがいたしるし,A294,"【开始】288一轨条按住爆五轨二连点
【结束】四轨条中+二轨二连点第一个",B722,"【开始】 717五轨条按住爆一轨二连点
【结束】二轨条中+四轨二连点第一个",88.8,A294,"【开始】 288一轨条按住爆五轨二连点
【结束】四轨条中+二轨二连点第一个",44.4,1
anicca anicca,anicca,A303,【开始】按住第二个三轨楼梯条，爆一轨单点+三轨右滑  【结束】二轨单点+四轨条头,B940,【开始】按住第二个三轨楼梯条，爆五轨单点+三轨左滑  【结束】四轨单点+二轨条头,104.6,B940,【开始】按住第二个三轨楼梯条，爆五轨单点+三轨左滑  【结束】四轨单点+二轨条头,52.3,1
anjing 安静,安静,A410,"【开始】 左侧拐条按住爆最后一拐（左）+五轨直条
【结束】五轨左滑+一轨单点",A554,"【开始】 541一轨拐条按住爆右拐+五轨二连点
【结束】一轨右滑+五轨单点",100.5,A554,"【开始】 541一轨拐条按住爆右拐+五轨二连点
【结束】一轨右滑+五轨单点",50.4,1
appleisa apple is a,Apple Is A,A153,【开始】爆1-2轨的2轨单点   【结束】4轨直条尾&2轨单点。,B333,【开始】爆4轨单点   【结束】2轨单点。,71,B333,【开始】爆4轨单点【结束】2轨单点。,37,2
baby baby,Baby*,A126,"【开始】主歌最后，2轨┐爆左滑
【结束】3轨二连点第一个。（非满分）",B340,"【开始】334二轨短直条后，过一轨单点，爆2轨条
【结束】3轨拐条后，1&3轨双点。",62,B340,"【开始】334二轨短直条后，过一轨单点，爆2轨条
【结束】3轨拐条后，1&3轨双点。",31,2
babyboy baby boy,Baby Boy,B449,【开始】爆1-2-3-4第一个1轨单点【结束】1轨单点。,B713,【开始】爆2&4轨双点        【结束】1&3轨双点。,89,B449,【开始】爆1-2-3-4第一个1轨单点 【结束】1轨单点。,45,1
badgirls bad girls,Bad Girls,B511,"【开始】 505四轨短条后，一轨拐条按住过2cb爆
【结束】一轨右滑键后，五轨单点",B651,"【开始】 三轨条尾+五轨单点后，四轨拐条按住爆一轨单点
【结束】五轨左滑键后，一轨右滑键",91.9,B511,"【开始】 505四轨短条后，一轨拐条按住过2cb爆
【结束】一轨右滑键后，五轨单点",46,2
badromance bad romance,Bad Romance,B415,"【开始】3轨大拐条后，爆1轨二连点。
【结束】3&4轨双点紧接4轨二连点。",B483,"【开始】3轨┌后，爆第二组双点：2&4轨双点。
【结束】2&3轨双滑键。",78,B483,"【开始】3轨┌后，爆第二组双点：2&4轨双点。
【结束】2&3轨双滑键。",41,2
baiqishi 白骑士,白骑士,A118,"【开始】歌词“美好的侧脸”后，爆1轨短条（备注）
【结束】3轨二连点。（非满分）",A207,【开始】导歌中间，1轨单点后，爆4轨二连点。（接近双爆）    【结束】2轨短条后，4轨条头。（备注）,70,A118,"【开始】歌词“美好的侧脸”后，爆1轨短条（备注）
【结束】3轨二连点。（非满分）",35,2
baofu 包袱,包袱,B312,"开始:4－3点后，爆二轨左滑条
结束:一轨三连点第三个+三轨条尾",B521,"开始:4－3点后，爆一轨右滑条
结束:二轨单点+四轨条尾",68.9,B312,"开始:4－3点后，爆二轨左滑条
结束:一轨三连点第三个+三轨条尾",34.5,2
barbarbar bar bar bar,bar bar bar,A166,"【开始】二轨左滑键后，爆一轨右滑条+四轨左滑条
【结束】一轨短条尾+三轨单点",B517,"【开始】 二轨左滑条后，爆一轨右滑条+四轨左滑条
【结束】四轨单点",85.5,B517,"【开始】 二轨左滑条后，爆一轨右滑条+四轨左滑条
【结束】四轨单点",43.2,1
