ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
aimei 暧昧,暧昧スクリーム,A446,"【开始】两对双打后，过四个散点爆左手单长条
【结束】踩右手条接到左手单长条开头",B909,"【开始】高潮中间单条后，爆右手白球
【结束】左手单长条开头。（双排同分",72,B909,"【开始】高潮中间单条后，爆右手白球
【结束】左手单长条开头。（双排同分",36,1
aitouluowang 爱投罗网,爱投罗网,B205,"【开始】B开两次右手滑球后，爆第二个左手普通球
【结束】踩右手条接到左手白球",B295,"【开始】rap开始，爆第二个左手滑球
【结束】连续无五组三连点，吃完第三组",67,B205,"【开始】B开两次右手滑球后，爆第二个左手普通球
【结束】踩右手条接到左手白球",34,1
aiwushe 爱无赦,爱无赦,A282,"【开始】277右条后，爆左单点
【结束】左白球",B660,"【开始】655左条后， 爆右白球
【结束】右二连点结束",73,B660,"【开始】655左条后， 爆右白球
【结束】右二连点结束",36.7,1
aizaibuyuanchu 爱在不远处,爱在不远处,A323,"【开始】313左起第三个条（左）
【结束】左白球",B653,"【开始】644右起第三个条（右）
【结束】右白球",65.7,·,"【开始】644右起第三个条（右）
【结束】右白球",33,1
AKB48,キミがいたしるし,A75,"【开始】68右手条后爆第三个单点（左）
【结束】左滑球",A146,"【开始】140左长条后，爆右白球
【结束】右白球",75.8,A75,"【开始】68右手条后爆第三个单点（左）
【结束】左滑球",39.3,1
anicca anicca,Anicca,A276,"【开始】267左条按住，爆右二连点第二个
【结束】右白球",B653,"【开始】644右条按住，爆左二连点第二个
【结束】左白球",73.8,A276,"【开始】267左条按住，爆右二连点第二个
【结束】右白球",36.9,1
anjing 安静,安静,A464,"【开始】457左单点+右条后，过左单点爆左条+右单点（存）
【结束】双打，A段结束（偷）",B897,"【开始】894右单点后，左单点+右条的条按住1cb爆
【结束】右单点",74.2,A382,"【开始】377左条+右点按住，爆条尾+右单点
【结束】双打",37.1,1
appleisa apple is a,Apple Is A,A184,"【开始】小段空气后，爆左手普通球（紧接双打）（存）
【结束】A段结束，连续两队双打（偷）",B316,"【开始】连续两根单长条，踩312右手条爆左手普通球
【结束】歌曲结束，双打（偷）",71,A127,"【开始】右手二连点
【结束】右手白球紧接着的右手二散点的第一个",36,2
baby baby,Baby,A142,"【开始】副歌第一句末，踩134右手条爆左手白球
【结束】右手二连点后，左手普通球",A214,"【开始】二次副歌第一句末，踩206左手条爆右手白球
【结束】左手二连点后，右手普通球",67,A142,"【开始】副歌第一句末，踩134右手条爆左手白球
【结束】右手二连点后，左手普通球",34,2
babyboy baby boy,Baby Boy,B444,"【开始】第二次高潮，爆左手普通球（紧接双白球）。
【结束】连续两个白球（右手结束）。",B698,"【开始】第三次高潮，爆左手普通球（紧接双白球）。
【结束】连续两个左手白球。",86,B444,"【开始】第二次高潮，爆左手普通球（紧接双白球）。
【结束】连续两个白球（右手结束）。",44,1
