ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
aimei 暧昧,曖昧スクリーム,B779,"【开始】间奏中,右短滑点后,爆左二连点。
【结束】多次双点后,双直条尾。",B923,"【开始】双直条后,911双长滑条拖住,过12cb爆。
【结束】左长滑点尾。",81,B921,"【开始】双直条后,911双长滑条拖住,过10b爆。
【结束】左长滑点尾。",41,1
aitouluowang 爱投罗网,爱投罗网,B434,"【开始】副歌,左滑条后,爆第五个单点:右下单点。
【结束】右下三连点。",B686,"【开始】导歌,右滑条后,过两次滑点,爆左上三连点。
【结束】左下二连点。",69,B434,"【开始】副歌,左滑条后,爆第五个单点:右下单点。
【结束】右下三连点。",36,1
aiwushe 爱无赦,爱无赦,A356,"【开始】右滑条后，左滑条第二拐(左拐)处爆气
【结束】右直条尾+左单点",B1021,"【开始】左滑条第三拐(左拐)爆气
【结束】右滑条按住吃到第一个左滑点",97,A356,"【开始】右滑条后，左滑条第二拐(左拐)处爆气
【结束】右直条尾+左单点",49,1
aizaibuyuanchu 爱在不远处,爱在不远处,A424,"【开始】双压后，过空气爆右单点。
【结束】右直条尾+左单点左滑条&右直条尾。",B856,"【开始】左单点&右滑点后，爆第三个单点（左）。
【结束】双压。",70,B856,"【开始】左单点&右滑点后，爆第三个单点（左）。
【结束】双压。",36,1
AKB48,ペガサス幻想,A214,"【开始】导歌开,双点后,空气后,爆左滑条。
【结束】右滑条后,左三连点。",B496,"【开始】B开过双滑条,左直条按住过2cb爆。(弹珠单爆点)
【结束】间奏结束,左二连点。",78,B496,"【开始】B开过双滑条,左直条按住过2cb爆。(弹珠单爆点)
【结束】间奏结束,左二连点。",41,1
anicca anicca,Anicca,A356,"【开始】348起第二根直条（左）按住3cb爆
【结束】第二组右滑点吃完",B1129,"【开始】1122左滑条后，右直条按住4cb爆
【结束】双打，歌曲结束",83.6,A356,"【开始】348起第二根直条（左）按住3cb爆
【结束】第二组右滑点吃完",42.2,1
anjing 安静,安静,A498,"【开始】过490左直条&右点后，爆左滑点&右直条。
【结束】左单点&右滑点头。",B1161,"【开始】1153右直条&左单点后，爆左直条&右滑点。
【结束】左滑点头&右单点。",82,A498,"【开始】过490左直条&右点后，爆左滑点&右直条。
【结束】左单点&右滑点头。",41,1
appleisa apple is a,Apple Is A,A237,"【开始】左直条按住,爆右单点。(存)
【结束】A段结束,双点。",B393,"【开始】左滑条后,爆左下单点。
【结束】两次二连点后,第二组双点。",73,A227,"【开始】导歌中,中间三连点后,爆双点。
【结束】A段结束,双点。",39,2
babyboy,Baby Boy,A182,"【开始】导歌,162左滑条后,爆第三次短滑点:右上滑点。
【结束】左四连点。",B684,"【开始】副歌,左滑条后,过右滑点,爆左下&底部双点。
【结束】左长滑点后,第二次双点。",71,B684,"【开始】副歌,左滑条后,过右滑点,爆左下&底部双点。
【结束】左长滑点后,第二次双点。",37,1
badgirls,Bad Girls  ,A587,"【开始】左滑条+右滑点。
【结束】右滑点+左单点。",B977,"【开始】左滑点+右滑条。
【结束】右滑点+左单点。",109.8,A587,"【开始】左滑条+右滑点。
【结束】右滑点+左单点。",55.1,1
baiqishi 白骑士,白骑士,A237,"【开始】导歌最后，左滑条后，爆右上单点.
【结束】左直条尾&右滑条头.",B554,"【开始】副歌中，右下滑点后，空气后，爆双点.
【结束】右上直条按住，左中单点.",68,B554,"【开始】副歌中，右下滑点后，空气后，爆双点.
【结束】右上直条按住，左中单点.",34,1
barbarbar,bar bar bar,A233,"【开始】228左点接左拐条按住拐弯时爆。
【结束】三组双压结束。",B873,"【开始】868右点接直条按住，爆条尾。
【结束】三组双压结束。",73,B873,"【开始】868右点接直条按住，爆条尾。
【结束】三组双压结束。",37,1
bei 悲,悲,A481,"【开始】左散点&右拐条后，爆左滑点&右点。
【结束】左滑条&右直条中。",B1060,"【开始】1050左点&右滑条后，爆左拐条&右散点。
【结束】右滑条",83,A481,"【开始】左散点&右拐条后，爆左滑点&右点。
【结束】左滑条&右直条中。",42,1
bemybaby be my baby,Be My Baby,A278,"【开始】导歌中,两次双点后,爆左滑点
【结束】左直条&右滑条尾。",A393,"【开始】导歌第三次,右短滑点后,爆左单点。(接双滑条)
【结束】双滑条尾。",72,A393,"【开始】导歌第三次,右短滑点后,爆左单点。(接双滑条)
【结束】双滑条尾。",38,1
