ID,SONG,DOT1,DISC1,DOT2,DISC2,DOUBLE,DOT,DISC,SINGLE,ABI
0222xindong 0222心动,0222心动,B487,"【开始】左下12连点后，爆右下3-6四连点。
【结束】10蓝条中。",B538,"【开始】右下1-4四连点后，爆偏右上5点。
【结束】中下9蓝条中。",64,B487,"【开始】左下12连点后，爆右下3-6四连点。
【结束】10蓝条中。",32,1
4am magic 4am magic,4AM  Magic,A78,"【开始】中右下11.12连点后爆中左下13左滑蓝条 。
【结束】右侧15蓝条头 ",B210,"【开始】中左上3.4连点后，爆中右上吾5右滑蓝条 。
【结束】左侧7蓝条头。",54,B210,"【开始】中左上③④连点后，爆中右上⑤右滑蓝条。
【结束】左侧⑦蓝条头。",27,2
7710 7710,7710,A32,"【开始】左上8长绿后，爆中右上向右1.2.3.4连点。
【结束】左6蓝条尾&右7绿条头。(注意双点和交叉点）",A157,"【开始】下方9单点后，爆左上1直角蓝。
【结束】中右下9号点。",66,A32,"【开始】左上8长绿后，爆中右上向右1.2.3.4连点。
【结束】左6蓝条尾&右7绿条头。",37,2
aimei 暧昧,曖昧スクリーム,A321,"【开始】全屏④-⑩连点后过①双点，爆下方②-②双点。
【结束】中间③-③双蓝条尾。（备注）",B620,"【开始】⑪⑫连绿和①-①双点后，爆右手②下滑蓝条。
【结束】中左下⑦绿条2/3。（备注）",83,A321,"【开始】全屏④-⑩连点后过①双点，爆下方②-②双点。
【结束】中间③-③双蓝条尾。（备注）",43,1
ainishiwozuichudemengxiang 爱你是我最初的梦想,爱你是我最初的梦想,A134,"【开始】空气后，爆右下1单点。（假）（存）
【结束】A段结束：中右11单点。",B311,"【开始】中右6单点后，爆中右上7单点。（假）
【结束】B段结束：中右10单点。",41,B312,"【开始】空气后，爆右下1单点。（假）
【结束】B段结束：中右10单点。",20,1
aitouluowang 爱投罗网,爱投罗网,A114,"【开始】两次双短绿条后，爆上方⑦-⑦双点。（备注）
【结束】所有双点后，下方①单点。（双排一样）",B362,"【开始】两次双短绿条后，爆上方⑦-⑦双点。（备注）
【结束】所有双点后，下方①单点。（双排一样）",85,A114,"【开始】两次双短绿条后，爆上方⑦-⑦双点。（备注）
【结束】所有双点后，下方①单点。（双排一样）",42,2
aiwodeshihou 爱我的时候,爱我的时候,A242,"【开始】中左下1单点后， 爆左下2单点。
【结束】中下8长绿头。",B601,"【开始】中右上1单点后， 爆右上2单点。
【结束】中上8长绿头。",54,A242,"【开始】中左下1单点后， 爆左下2单点。
【结束】中下8长绿头。",27,1
aiwushe 爱无赦,爱无赦,A170,"【开始】右7蓝条接8短绿条后，爆左下9.10点蓝。
【结束】左2蓝条结束+右下3单点。",B369,"【开始】左上4绿条按住，爆最后1cb+右上5.6.7.8向下点点点绿。
【结束】右上8蓝条结束+左9单点。",68.7,A170,"【开始】右7蓝条接8短绿条后，爆左下9.10点蓝。
【结束】左2蓝条结束+右下3单点。",35,1
aizaibuyuanchu 爱在不远处,爱在不远处,A142,"【开始】右⑥绿条后，爆左下""<-""型①②连点
【结束】中间⑤单点",B308,"【开始】右⑥绿条后，爆左下 ""←""型①②连点
【结束】中间⑤单点",44.2,A142,"【开始】右⑥绿条后，爆左下""<-""型①②连点
【结束】中间⑤单点",22.1,1
alwaysonline always online,Always Online,A43,"【开始】左下⑤单点后，爆右⑥⑦⑧⑨连点。（左手按）
【结束】右上⑩蓝条尾&左上①单点。",A115,"【开始】右下④⑤连点后，爆左手⑥⑦连点。
【结束】左手①②③连点。",55,A43,"【开始】左下⑤单点后，爆右⑥⑦⑧⑨连点。（左手按）
【结束】右上⑩蓝条尾&左上①单点。",29,2
